Tipo de participación,G1,G2,G3
Mixta,39.130434782608695,38.88888888888889,27.27272727272727
Publicación,26.08695652173913,27.77777777777778,18.181818181818183
Visualización,34.78260869565217,33.33333333333333,54.54545454545454
